,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
42,1,-8.585714285714285,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
43,1,-8.585714285714285,0.00195,3.716196100218174,442.563798823813,1.3586292549329798e-14,1.0,4.326605227279193,451.78777810358946,1.3521071133947993e-14,1.0
44,1,-8.585714285714285,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
45,1,-7.878571428571428,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
46,1,-7.878571428571428,0.00015,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
47,1,-7.878571428571428,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
48,1,-7.878571428571428,0.00045,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
49,1,-7.878571428571428,0.0006,3.7161961002192903,442.56379882380867,1.3585010416032845e-14,1.0,4.326605227283232,451.7877781035899,1.3516111612852332e-14,1.0
50,1,-7.878571428571428,0.0007499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
51,1,-7.878571428571428,0.0009,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
52,1,-7.878571428571428,0.00105,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
53,1,-7.878571428571428,0.0012,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
54,1,-7.878571428571428,0.0013499999999999999,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
55,1,-7.878571428571428,0.0014999999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
56,1,-7.878571428571428,0.0016499999999999998,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
57,1,-7.878571428571428,0.0018,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
58,1,-7.878571428571428,0.00195,3.7161961002196677,442.5637988238097,1.3584517742649122e-14,1.0,4.326605227283191,451.78777810358963,1.3516161875163934e-14,1.0
59,1,-7.878571428571428,0.0021,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
60,1,-7.171428571428571,0.0,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
61,1,-7.171428571428571,0.00015,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
62,1,-7.171428571428571,0.0003,3.7161961002179527,442.56379882381276,1.3586569913209392e-14,1.0,4.326605227279464,451.78777810358736,1.3520786626504318e-14,1.0
