,ID,k,r,c,a SSE Action,b SSE Action,SSEAction,R2_SSE_Action,a SSE External,b SSE External,SSEExternal,R2_SSE_External
0,1,1,-2.81,0.0001,1.2362922692111211,496.5246302908394,8.89539646946683e-14,1.0,1.2900794473419832,515.7548088879163,1.3246615157957321e-14,1.0
1,1,2,-2.81,0.0001,1.5011628200242149,496.4158144326505,8.701554716580863e-15,1.0,1.566473607318713,515.6412587360309,3.518296899396585e-13,1.0
2,1,3,-2.81,0.0001,1.736163189496321,496.2699896476597,6.035283888022665e-14,0.9999999999999998,1.8116982049648458,515.4890893919081,1.2249686306630705e-14,1.0
3,1,4,-2.81,0.0001,1.947182411059437,496.13035617962913,6.712726738575357e-15,1.0,2.0318981848832265,515.3433809456495,5.641015260311946e-15,0.9999999999999998
4,1,5,-2.81,0.0001,2.1390379393203482,496.0038081664137,1.9769697814018372e-13,1.0,2.232100833067202,515.2113269550446,2.6119581836569054e-14,0.9999999999999998
5,1,6,-2.81,0.0001,2.3153897213853947,495.8896576478266,2.857987552820755e-11,1.0,2.416127259272437,515.0921997161695,1.4561333348285444e-13,0.9999999999999998
6,1,7,-2.81,0.0001,2.479069283468028,495.7856434535453,5.82460772074545e-12,1.0,2.586924195496293,514.983677897989,4.112685379750387e-11,1.0
7,1,8,-2.81,0.0001,2.632269480964464,495.68964315687697,8.414587848042487e-15,1.0,2.7467912340946703,514.8834938864438,8.012570999013766e-15,1.0
8,1,9,-2.81,0.0001,2.7767226309616686,495.5998834955264,1.241526380912293e-14,0.9999999999999998,2.8975290889049656,514.7898290578648,1.0264114327429734e-14,1.0
9,1,10,-2.81,0.0001,2.9138190127347716,495.51492853258196,1.4668749723344095e-14,1.0,3.040590105634895,514.7011779662281,1.0611264437769554e-14,1.0
10,1,11,-2.81,0.0001,3.044684298543757,495.43364144146284,1.3312339268694516e-14,1.0,3.1771489274015114,514.616354331091,9.721301938135093e-15,0.9999999999999998
11,1,12,-2.81,0.0001,3.17023713477855,495.35512990602297,1.2455781621078471e-14,1.0,3.3081641736843768,514.5344270033089,8.325829222744748e-15,1.0
12,1,13,-2.81,0.0001,3.2912316486406246,495.2786987013914,1.0080006532225399e-14,1.0,3.4344227746177856,514.4546705243723,7.565536048416756e-15,0.9999999999999998
13,1,14,-2.81,0.0001,3.408290488705683,495.2038076309594,8.5753952753868e-15,1.0,3.556574475734828,514.3765211804425,6.367437745490724e-15,1.0
14,2,1,-2.81,0.0001,8.619024518633223,377.80154669298395,2.158978033445019e-14,1.0,4.490877770140053,393.69391301757577,1.3431384474910701e-14,1.0
15,2,2,-2.81,0.0001,10.465615187314654,377.042916807187,6.568522593241265e-15,1.0,5.45302992745225,393.29863463054727,1.099954507618357e-14,1.0
16,2,3,-2.81,0.0001,12.103960926889073,376.0262739837081,6.773005238185949e-15,1.0,6.306677452138581,392.7689218351914,7.133271305553229e-13,1.0
17,2,4,-2.81,0.0001,13.57511757480909,375.05279555812757,4.600860782585129e-15,1.0,7.07321259945675,392.26169767583366,2.47987996694487e-13,1.0
18,2,5,-2.81,0.0001,14.912672213194158,374.1705419626236,4.5225613960236e-15,1.0,7.770135450670178,391.80200555954457,3.539971959381598e-14,1.0
19,2,6,-2.81,0.0001,16.142151987591173,373.37465835725556,3.7220023930527494e-15,1.0,8.410746640737067,391.3873162950273,1.564976918247481e-14,1.0
20,2,7,-2.81,0.0001,17.28326510659166,372.6495418201819,2.6127261418825306e-15,1.0,9.005315044755424,391.00949971322893,7.107167533709405e-15,1.0
21,2,8,-2.81,0.0001,18.35132011222029,371.98028878674995,2.9340219737756523e-15,1.0,9.561817063322067,390.66079042463656,4.033297821117632e-15,1.0
22,2,9,-2.81,0.0001,19.358400194379005,371.3545137548765,1.27727308098538e-14,1.0,10.086548547136402,390.33473504679984,3.174920057443865e-15,1.0
23,2,10,-2.81,0.0001,20.314191293099885,370.7622355631846,7.171534021797146e-14,1.0,10.584555855366629,390.0261347834277,1.1083948946402484e-12,1.0
24,2,11,-2.81,0.0001,21.226541174972812,370.19552865840336,1.1369198933146272e-13,1.0,11.05992915424044,389.7308552059451,1.4259799667982574e-13,1.0
25,2,12,-2.81,0.0001,22.10185448954719,369.64817200738537,6.61291567771725e-13,1.0,11.51600460107875,389.4456587574447,2.7648046080372228e-14,1.0
26,2,13,-2.81,0.0001,22.945388375581928,369.1153187717178,1.9910603201289547e-15,1.0,11.955521704921969,389.1680194474465,7.578646366578344e-15,1.0
27,2,14,-2.81,0.0001,23.76148421683622,368.59320283040665,1.8606525124509738e-15,1.0,12.38074230911442,388.895974812937,3.3723035769243837e-15,1.0
28,3,1,-2.81,0.0001,4.726604741355888,389.14762903076985,1.647851010140222e-13,1.0,7.247864056064906,373.2635520737206,1.0345080509473463e-14,0.9999999999999996
29,3,2,-2.81,0.0001,5.739260313931931,388.7316034121016,7.110906414167324e-13,1.0,8.800689266118235,372.62560907018985,1.2176379866805085e-13,1.0
30,3,3,-2.81,0.0001,6.637716306157723,388.1740834917208,4.4903829373714386e-14,0.9999999999999998,10.178398177065343,371.77069922785546,5.8961589627568e-15,0.9999999999999996
31,3,4,-2.81,0.0001,7.444486987130819,387.64023543851795,1.0192930057265188e-14,0.9999999999999998,11.41551536619651,370.95208694754336,4.202503445267989e-15,1.0
