ID,foreperiod,condition,block,counterbalance,meanRT,varRT,meanLogRT,meanRTzscore,meanInvRT,numForeperiod
001,1000,external,2,action-external,518.0897435897435,6445.900932400932,2.709364878146993,0.03343822040738867,0.0019752513046408116,1000
001,1000,action,1,action-external,494.05333333333334,9300.753873873873,2.6855091356657033,-0.2359738217915489,0.0021034015558145103,1000
001,2800,external,3,action-external,528.4487179487179,4588.2246087246085,2.7193937768954544,0.1495467577208349,0.001924684214564187,2800
001,2800,action,0,action-external,504.5131578947368,6042.306491228071,2.6976762293509444,-0.11873490524498205,0.002031041880537801,2800
002,1000,external,1,external-action,411.2282051282051,3107.3558175158178,2.610478641241763,-0.3510898041305157,0.002471066929177421,1000
002,1000,action,3,external-action,413.63896103896104,3148.261619958988,2.6129385071044178,-0.3146815838696329,0.002457762468946269,1000
002,2800,external,0,external-action,437.1860759493671,2362.3042908146713,2.6380614873648667,0.04093656160141387,0.002314745088971944,2800
002,2800,action,2,external-action,466.3423076923077,3847.4806543456543,2.6650817285651027,0.4812658801102606,0.002179715331764762,2800
003,1000,external,1,external-action,404.32533333333333,4922.230836036036,2.600599187147383,-0.30038198597810306,0.00254272232424293,1000
003,1000,action,2,external-action,406.4058823529412,3713.1262335381916,2.6042727406257775,-0.2722049593372915,0.0025139179037186386,1000
003,2800,external,0,external-action,445.9351351351351,3878.481762310256,2.645110212308972,0.2631425851032581,0.0022859238367165047,2800
003,2800,action,3,external-action,439.396,3072.7439027027026,2.6394425527459826,0.17458260253418673,0.002312085008045101,2800
004,1000,external,3,action-external,331.8208333333333,1045.011531690141,2.5188711866719555,-0.2838693433573082,0.003042099910850968,1000
004,1000,action,1,action-external,326.98571428571427,1821.6380538302278,2.510861752560949,-0.39430930999396985,0.0031107033989117437,1000
004,2800,external,2,action-external,356.7943661971831,1670.313110663984,2.5497344685663763,0.28655635022334924,0.0028369547608598856,2800
004,2800,action,0,action-external,359.69166666666666,1454.8464084507043,2.5534972558563864,0.35273419693918473,0.002811852837541207,2800
005,1000,external,1,external-action,517.3376623376623,4959.673957621326,2.710019811898943,-0.24559072817601402,0.001965918614938033,1000
005,1000,action,3,external-action,513.1408450704225,5522.979879275654,2.706042731762089,-0.29193534398044085,0.001985957168224227,1000
005,2800,external,0,external-action,596.1038961038961,9304.094326725906,2.7696999100507105,0.624209077203312,0.0017216442654396616,2800
005,2800,action,2,external-action,527.7236842105264,6348.789298245614,2.717749396070984,-0.13089996067666473,0.0019353887751731912,2800
006,1000,external,3,action-external,481.2207792207792,5042.147983595352,2.6781544688651335,-0.06982343087252046,0.0021166668915301528,1000
006,1000,action,0,action-external,486.36842105263156,4697.115789473684,2.682557238071494,-0.010023656548133843,0.002099162544414381,1000
006,2800,external,2,action-external,489.2162162162162,6843.843021103295,2.6839352104822916,0.023058969179763796,0.0020949022958880285,2800
006,2800,action,1,action-external,471.25,4759.87,2.668568240597475,-0.18565323541553053,0.0021689010143544347,2800
007,1000,external,1,external-action,457.01447368421054,4119.531654385965,2.6558039977558456,-0.7963586804731221,0.0022296335672303204,1000
007,1000,action,3,external-action,571.3093333333334,3570.2062630630635,2.75448165639736,0.374525858734769,0.0017699643928291073,1000
007,2800,external,0,external-action,475.93116883116886,3351.515594668491,2.6742323894759346,-0.6025681115142106,0.002134270226357655,2800
007,2800,action,2,external-action,628.3025,4280.536449367088,2.7958664665267317,0.9583877917679989,0.0016085051564163496,2800
009,1000,external,1,external-action,558.6766233766234,17883.55786739576,2.7351142671236897,-0.223947263812489,0.0018920153052055257,1000
009,1000,action,2,external-action,568.3155844155845,17004.382385509227,2.744406686529671,-0.15116739486031425,0.0018410131057922856,1000
009,2800,external,0,external-action,651.0444444444445,16224.279687010954,2.8056808951272756,0.4734845325752417,0.001592832448113983,2800
009,2800,action,3,external-action,579.4948717948718,14590.78334998335,2.753730139309896,-0.06675714907194284,0.0018026594125581013,2800
011,1000,external,1,external-action,421.58589743589744,3860.072395937396,2.6203096344614445,-0.3677167059912295,0.0024222574476262687,1000
011,1000,action,2,external-action,438.55443037974686,4387.182512171374,2.637364864148714,-0.15526215177029937,0.0023288211459968904,1000
011,2800,external,0,external-action,469.3151898734177,4313.152843232717,2.6673447179927274,0.2298780054460576,0.0021714518406874654,2800
011,2800,action,3,external-action,459.92857142857144,5961.217857142857,2.6569737422786903,0.1123528284645891,0.0022309337236714483,2800
012,1000,external,1,external-action,382.7162162162162,1370.6717882265827,2.5809349087659657,0.2593071568044656,0.002636071196180772,1000
012,1000,action,2,external-action,361.9594594594595,828.8887449092929,2.5573351102247255,-0.25515746409003526,0.002779510866094401,1000
012,2800,external,0,external-action,374.5921052631579,1124.4580701754387,2.5718536939181713,0.057947777275701995,0.0026905756871711205,2800
012,2800,action,3,external-action,357.97297297297297,783.4787115883006,2.5525416607745957,-0.35396414583735153,0.0028103968338564333,2800
013,1000,external,2,action-external,424.01666666666665,2892.426601731602,2.623984339135775,-0.3502051889758842,0.0023954212174004718,1000
013,1000,action,0,action-external,431.5184210526316,3917.35165614035,2.6306147963285165,-0.23469109262243562,0.002364162206483749,1000
013,2800,external,3,action-external,458.97564102564104,3353.5314768564767,2.658394131205234,0.18810280202892704,0.0022130650760676064,2800
013,2800,action,1,action-external,468.4025641025641,4436.775577755578,2.6661150527122865,0.33326118026929585,0.002180752859969778,2800
014,1000,external,1,external-action,451.2409836065574,8278.32512568306,2.6459889624956063,0.1244259782032637,0.0023028593761240277,1000
014,1000,action,3,external-action,407.30422535211267,6668.594981891346,2.6015211674461325,-0.3610478488680803,0.0025511308212684,1000
014,2800,external,0,external-action,440.59166666666664,12871.826312056737,2.629730937753674,0.00675765546164594,0.0024260768039468398,2800
014,2800,action,2,external-action,462.5676056338028,5134.702221327967,2.660274336248302,0.24957810052219154,0.002210338847280992,2800
015,1000,external,3,action-external,595.9625,5764.745238095239,2.771833245979562,0.05050406108249174,0.00170407858515881,1000
015,1000,action,0,action-external,548.8197368421053,7941.833338596492,2.733950218003375,-0.4581479650150782,0.0018679554331356813,1000
015,2800,external,2,action-external,610.7311688311688,7971.7450683526995,2.781461630328814,0.20985223714459095,0.0016702547486799496,2800
015,2800,action,1,action-external,600.5342105263157,6964.136147368421,2.774467205917634,0.099831034432646,0.0016965892930249436,2800
016,1000,external,0,external-action,644.5207547169812,28975.17629172714,2.7952519270039318,0.11754985824271158,0.0016515006832375355,1000
016,1000,action,2,external-action,605.2162162162163,12668.867678637544,2.7750838827257045,-0.19553229678871342,0.0017035027876588637,1000
016,2800,external,1,external-action,613.1450704225352,9015.37965392354,2.7824097193104964,-0.1323746346832031,0.0016704918159793991,2800
016,2800,action,3,external-action,664.4861111111111,13359.171917057902,2.8161559416085145,0.276584846167147,0.0015490935626057258,2800
018,1000,external,0,external-action,423.32948717948716,5155.067560772562,2.6210315092452565,-0.016537902058297735,0.002422195975638634,1000
018,1000,action,3,external-action,403.1948717948718,7068.483349983351,2.597311612762741,-0.26017841863236396,0.0025705059111714753,1000
018,2800,external,1,external-action,452.4935897435897,5972.610737595737,2.649481384914066,0.3363646430564337,0.002272923936388164,2800
018,2800,action,2,external-action,413.145,4367.466050632913,2.6109980007641194,-0.13977610005974472,0.002476348322027905,2800
019,1000,external,1,external-action,525.68875,3760.9022768987343,2.71783438097768,-0.34226886539674334,0.001927736745607293,1000
019,1000,action,2,external-action,555.0512820512821,8369.32279054279,2.7386831116538626,-0.05361151447136485,0.0018485483570925409,1000
019,2800,external,0,external-action,611.7675,16278.00374050633,2.7773460590639045,0.5039546109223917,0.0017054817353287304,2800
019,2800,action,3,external-action,544.29125,7176.41954272152,2.731195844972725,-0.1593913001645959,0.001875008912828598,2800
020,1000,external,0,external-action,417.2142857142857,4016.7246616541347,2.6158396931080117,-0.48362549098743524,0.002445358223188103,1000
020,1000,action,3,external-action,463.7746666666667,6706.335971171171,2.6599047648076457,0.12188161800387247,0.0022197030745398647,1000
020,2800,external,1,external-action,483.87692307692305,4462.935044955045,2.6807366215167208,0.3833068665563954,0.0021047131385453508,2800
020,2800,action,2,external-action,443.8855263157895,3463.6225877192987,2.643733089029798,-0.13677210492203845,0.0022889058123442803,2800
021,1000,external,1,external-action,462.3818181818182,5578.961770334929,2.659784929243374,-0.1172784750156734,0.0022139326054157467,1000
021,1000,action,2,external-action,441.9592105263158,6355.576580701753,2.6388498950623203,-0.33888683788601104,0.0023302183952239514,1000
021,2800,external,0,external-action,460.73199999999997,4189.033827027027,2.659263887866821,-0.1351808659577987,0.0022125762016201155,2800
021,2800,action,3,external-action,518.9082191780822,10842.63465372907,2.7066344372943854,0.4960968292079896,0.0020033752735604633,2800
022,1000,external,2,action-external,416.8871794871795,991.2330802530803,2.618788600844756,-0.22198479896764792,0.0024124395670902777,1000
022,1000,action,1,action-external,408.29493670886075,2044.2120253164558,2.6083310737785896,-0.36879342169161244,0.0024794155941416586,1000
022,2800,external,3,action-external,450.26875,2439.939137658228,2.6510098990085047,0.3483787856969167,0.0022457190076136248,2800
022,2800,action,0,action-external,428.84285714285716,2804.4616917293224,2.628985232146335,-0.017707916243768516,0.0023679994053912037,2800
023,1000,external,3,action-external,565.2118421052631,14645.57599122807,2.743073951968737,0.02090240429939538,0.0018431327265112896,1000
023,1000,action,0,action-external,613.0205479452055,15051.254433028918,2.7793434007552023,0.44969612436314715,0.0016921006788496614,1000
023,2800,external,2,action-external,533.8354430379746,8297.480266147357,2.722046922381811,-0.26051083711545914,0.0019171575322995697,2800
023,2800,action,1,action-external,542.8467532467532,8793.70936431989,2.728882512464066,-0.17968887887197946,0.0018900688236409722,2800
024,1000,external,3,action-external,345.1181818181818,1721.424928229665,2.5349734210752968,-0.14583270204999496,0.002937217329585318,1000
024,1000,action,1,action-external,351.3064935064935,2051.8021941216675,2.5421085427701393,-1.6777823772994775e-4,0.0028940722061336676,1000
024,2800,external,2,action-external,347.2319444444444,1358.0774158841944,2.5382590258572217,-0.09607743964242839,0.002911090634117778,2800
024,2800,action,0,action-external,359.727027027027,1735.582547204739,2.5530786300424304,0.198040785827306,0.002817381616923268,2800
027,1000,external,1,external-action,407.66753246753245,4941.001431989063,2.604529170389911,-0.13403552820258074,0.002516303154091768,1000
027,1000,action,2,external-action,366.0368421052632,3244.1282245614025,2.558733157086531,-0.6780885128062855,0.0027909336971058884,1000
027,2800,external,0,external-action,436.06625,4057.277200949367,2.635290826934779,0.2370946860217676,0.002337375798559109,2800
027,2800,action,3,external-action,457.0236842105263,5579.7047649122815,2.6544477104566564,0.5109780766802717,0.002243115130662556,2800
029,1000,external,2,action-external,499.90125,14638.541643987342,2.687441527758975,-0.378494911940545,0.002104842365093599,1000
029,1000,action,0,action-external,553.7402597402597,19492.081384142173,2.729498237043159,0.045216268641521284,0.00192756823666462,1000
029,2800,external,3,action-external,551.0294871794872,10935.600547785547,2.7335888653556224,0.023882580530323973,0.0018790106282823228,2800
029,2800,action,1,action-external,594.7256756756757,14729.938646797482,2.7648714815023583,0.367770101938648,0.0017588755915006788,2800
030,1000,external,0,external-action,464.04303797468356,1932.1365855241806,2.6646346173777054,0.35433360835003447,0.0021741557041467254,1000
030,1000,action,2,external-action,420.27402597402596,2465.916158578263,2.6206738278845747,-0.4571581321875633,0.0024102761193814594,1000
030,2800,external,1,external-action,459.35194805194806,2382.6943711551608,2.6597948985413233,0.2673592730289214,0.00220037425819612,2800
030,2800,action,3,external-action,426.6948717948718,1351.2984149184151,2.628567803722209,-0.33811355903605006,0.0023601965145898293,2800
032,1000,external,2,action-external,432.848,5358.689286486488,2.630390936902319,-0.5558288233008201,0.0023741587448432365,1000
032,1000,action,1,action-external,517.7026315789474,9157.523459649123,2.7068670455402475,0.33765445689661533,0.001996923848205834,1000
032,2800,external,3,action-external,490.02307692307693,5691.175824175825,2.6849310750065367,0.04620048640448254,0.0020926184861254265,2800
032,2800,action,0,action-external,489.1306666666667,6408.429452252252,2.6838312906765336,0.036803784912267344,0.0020978041816960493,2800
033,1000,external,1,external-action,581.8012987012987,10542.653287764868,2.7585619892525104,0.07015034637171765,0.0017672256530326307,1000
033,1000,action,3,external-action,524.6643835616438,4008.32954718417,2.7166680582192653,-0.463495867018986,0.001934979143778027,1000
033,2800,external,0,external-action,635.5287878787879,16119.255620046619,2.7951489103005795,0.5719532715817661,0.0016308118502819822,2800
033,2800,action,2,external-action,555.2824324324324,7685.923659755646,2.7394656948864973,-0.17753002862236755,0.0018423514183645959,2800
034,1000,external,3,action-external,590.4171052631579,12268.698503508771,2.764208204667192,-0.45103399832600893,0.0017471055408200932,1000
034,1000,action,0,action-external,654.8815789473684,13588.016722807015,2.809467091720483,0.09233225577535836,0.0015748300493250655,1000
034,2800,external,2,action-external,610.9527027027027,11693.290746019991,2.7792911264852913,-0.2779409748551271,0.001688516412604824,2800
034,2800,action,1,action-external,724.99,8581.922072463767,2.8568841467105512,0.683270922473268,0.001401333566066109,2800
035,1000,external,2,action-external,445.9217948717949,5401.984064269064,2.643844033348749,-0.055279493961569184,0.002297598566897708,1000
035,1000,action,1,action-external,391.87631578947367,3906.168231578948,2.5881868093740548,-0.7099134578560596,0.002608586475780058,1000
