,ID,date,Acc,condition,block,orientation,foreperiod,corrAns,RT,action_trigger.rt,Response.keys,counterbalance,extFixationDuration,oneBackFP,twoBackFP,oneBackEffect,oneBackAcc
46,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.473,0.351,right,action-external,,2.8,2.8,0.013999999999999957,1.0
47,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.552,0.339,right,action-external,,2.8,2.8,0.07900000000000007,1.0
48,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.521,0.373,left,action-external,,2.8,2.8,-0.031000000000000028,1.0
49,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.585,0.351,left,action-external,,2.8,2.8,0.06399999999999995,1.0
50,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.415,0.452,right,action-external,,2.8,2.8,-0.16999999999999998,1.0
51,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.535,0.409,right,action-external,,2.8,2.8,0.12000000000000005,1.0
52,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.452,0.302,right,action-external,,2.8,2.8,-0.08300000000000002,1.0
53,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.485,0.501,left,action-external,,2.8,2.8,0.032999999999999974,1.0
54,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.574,0.42,left,action-external,,2.8,2.8,0.08899999999999997,1.0
55,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.702,0.301,left,action-external,,2.8,2.8,0.128,1.0
56,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.392,0.357,left,action-external,,2.8,2.8,-0.30999999999999994,1.0
57,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.434,0.338,right,action-external,,2.8,2.8,0.04199999999999998,1.0
58,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.556,0.317,right,action-external,,2.8,2.8,0.12200000000000005,1.0
59,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.459,0.54,left,action-external,,2.8,2.8,-0.09700000000000003,1.0
60,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.543,0.404,left,action-external,,2.8,2.8,0.08400000000000002,1.0
61,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.45,0.268,left,action-external,,2.8,2.8,-0.09300000000000003,1.0
62,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.495,0.148,right,action-external,,2.8,2.8,0.044999999999999984,1.0
63,001,03-25-2023_20h44.56.585,0.0,action,0.0,right,2.8,right,0.45,0.272,left,action-external,,2.8,2.8,-0.044999999999999984,1.0
64,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.456,0.908,right,action-external,,2.8,2.8,0.006000000000000005,0.0
65,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.529,0.456,left,action-external,,2.8,2.8,0.07300000000000001,1.0
66,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.493,0.399,left,action-external,,2.8,2.8,-0.03600000000000003,1.0
67,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.495,1.387,right,action-external,,2.8,2.8,0.0020000000000000018,1.0
68,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.4,0.404,right,action-external,,2.8,2.8,-0.09499999999999997,1.0
69,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.614,0.337,left,action-external,,2.8,2.8,0.21399999999999997,1.0
70,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.447,0.523,right,action-external,,2.8,2.8,-0.16699999999999998,1.0
71,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.432,0.943,left,action-external,,2.8,2.8,-0.015000000000000013,1.0
72,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.522,0.431,left,action-external,,2.8,2.8,0.09000000000000002,1.0
73,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.526,0.301,right,action-external,,2.8,2.8,0.0040000000000000036,1.0
74,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.513,0.418,left,action-external,,2.8,2.8,-0.013000000000000012,1.0
75,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.467,0.321,left,action-external,,2.8,2.8,-0.045999999999999985,1.0
76,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.546,0.285,right,action-external,,2.8,2.8,0.07900000000000001,1.0
77,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.468,0.283,left,action-external,,2.8,2.8,-0.07800000000000001,1.0
78,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.551,0.007,right,action-external,,2.8,2.8,0.08300000000000002,1.0
79,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.715,0.391,right,action-external,,2.8,2.8,0.16399999999999992,1.0
80,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.569,0.32,left,action-external,,2.8,2.8,-0.14600000000000002,1.0
81,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.65,0.436,left,action-external,,2.8,2.8,0.08100000000000007,1.0
82,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.451,1.773,right,action-external,,2.8,2.8,-0.199,1.0
83,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.389,0.318,right,action-external,,2.8,2.8,-0.062,1.0
84,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.488,0.173,right,action-external,,2.8,2.8,0.09899999999999998,1.0
85,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.467,0.155,left,action-external,,2.8,2.8,-0.020999999999999963,1.0
86,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.351,0.619,right,action-external,,2.8,2.8,-0.11600000000000005,1.0
87,001,03-25-2023_20h44.56.585,1.0,action,0.0,left,2.8,left,0.432,0.006,left,action-external,,2.8,2.8,0.08100000000000002,1.0
88,001,03-25-2023_20h44.56.585,1.0,action,0.0,right,2.8,right,0.428,0.275,right,action-external,,2.8,2.8,-0.0040000000000000036,1.0
90,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.633,2.375,right,action-external,,,,,
91,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.486,0.354,left,action-external,,1.0,,-0.14700000000000002,1.0
92,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.43,0.324,right,action-external,,1.0,1.0,-0.055999999999999994,1.0
93,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.508,0.735,right,action-external,,1.0,1.0,0.07800000000000001,1.0
94,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.4,0.521,left,action-external,,1.0,1.0,-0.10799999999999998,1.0
95,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.557,0.319,left,action-external,,1.0,1.0,0.15700000000000003,1.0
96,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.418,0.386,left,action-external,,1.0,1.0,-0.13900000000000007,1.0
97,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.6,0.202,left,action-external,,1.0,1.0,0.182,1.0
98,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.534,0.257,left,action-external,,1.0,1.0,-0.06599999999999995,1.0
99,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.517,0.176,left,action-external,,1.0,1.0,-0.017000000000000015,1.0
100,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.748,0.234,right,action-external,,1.0,1.0,0.23099999999999998,1.0
101,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.452,0.302,right,action-external,,1.0,1.0,-0.296,1.0
102,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.386,0.318,right,action-external,,1.0,1.0,-0.066,1.0
103,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.399,2.34,left,action-external,,1.0,1.0,0.013000000000000012,1.0
104,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.424,0.072,right,action-external,,1.0,1.0,0.024999999999999967,1.0
105,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.587,0.352,right,action-external,,1.0,1.0,0.16299999999999998,1.0
106,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.399,1.068,left,action-external,,1.0,1.0,-0.18799999999999994,1.0
107,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.6,0.357,left,action-external,,1.0,1.0,0.20099999999999996,1.0
108,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.867,0.709,left,action-external,,1.0,1.0,0.267,1.0
109,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.448,0.287,right,action-external,,1.0,1.0,-0.419,1.0
110,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.354,0.601,left,action-external,,1.0,1.0,-0.09400000000000003,1.0
111,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.537,0.368,left,action-external,,1.0,1.0,0.18300000000000005,1.0
112,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.404,0.234,right,action-external,,1.0,1.0,-0.133,1.0
113,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.502,0.269,right,action-external,,1.0,1.0,0.09799999999999998,1.0
114,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.4,0.054,left,action-external,,1.0,1.0,-0.10199999999999998,1.0
115,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.504,0.67,left,action-external,,1.0,1.0,0.10399999999999998,1.0
116,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.461,1.159,right,action-external,,1.0,1.0,-0.04299999999999998,1.0
117,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.452,0.436,right,action-external,,1.0,1.0,-0.009000000000000008,1.0
118,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.635,0.068,right,action-external,,1.0,1.0,0.183,1.0
119,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.566,0.385,left,action-external,,1.0,1.0,-0.06900000000000006,1.0
120,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.528,0.336,right,action-external,,1.0,1.0,-0.03799999999999992,1.0
121,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.478,0.055,left,action-external,,1.0,1.0,-0.050000000000000044,1.0
122,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.482,0.067,right,action-external,,1.0,1.0,0.0040000000000000036,1.0
123,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.316,0.147,left,action-external,,1.0,1.0,-0.16599999999999998,1.0
124,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.718,0.3,left,action-external,,1.0,1.0,0.40199999999999997,1.0
125,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.545,0.434,right,action-external,,1.0,1.0,-0.17299999999999993,1.0
126,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.416,0.187,left,action-external,,1.0,1.0,-0.12900000000000006,1.0
127,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.351,1.776,right,action-external,,1.0,1.0,-0.065,1.0
128,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.371,0.553,left,action-external,,1.0,1.0,0.020000000000000018,1.0
129,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.468,0.453,right,action-external,,1.0,1.0,0.09700000000000003,1.0
130,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.35,1.672,left,action-external,,1.0,1.0,-0.11800000000000005,1.0
131,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.495,2.3,right,action-external,,1.0,1.0,0.14500000000000002,1.0
132,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.403,0.067,left,action-external,,1.0,1.0,-0.09199999999999997,1.0
133,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.479,0.132,right,action-external,,1.0,1.0,0.07599999999999996,1.0
134,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.502,0.371,left,action-external,,1.0,1.0,0.02300000000000002,1.0
135,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.448,0.173,right,action-external,,1.0,1.0,-0.05399999999999999,1.0
136,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.32,0.149,left,action-external,,1.0,1.0,-0.128,1.0
137,001,03-25-2023_20h44.56.585,0.0,action,1.0,left,1.0,left,0.332,0.187,right,action-external,,1.0,1.0,0.01200000000000001,1.0
138,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.334,0.522,left,action-external,,1.0,1.0,0.0020000000000000018,0.0
139,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.461,0.805,right,action-external,,1.0,1.0,0.127,1.0
140,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.516,1.769,left,action-external,,1.0,1.0,0.05499999999999999,1.0
141,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.618,0.787,right,action-external,,1.0,1.0,0.10199999999999998,1.0
142,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.534,0.504,left,action-external,,1.0,1.0,-0.08399999999999996,1.0
143,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.443,0.306,right,action-external,,1.0,1.0,-0.09100000000000003,1.0
144,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.487,1.118,right,action-external,,1.0,1.0,0.043999999999999984,1.0
145,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.421,0.184,right,action-external,,1.0,1.0,-0.066,1.0
146,001,03-25-2023_20h44.56.585,0.0,action,1.0,right,1.0,right,0.339,0.999,left,action-external,,1.0,1.0,-0.08199999999999996,1.0
147,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.617,0.434,left,action-external,,1.0,1.0,0.27799999999999997,0.0
148,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.634,2.33,left,action-external,,1.0,1.0,0.017000000000000015,1.0
149,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.879,0.304,left,action-external,,1.0,1.0,0.245,1.0
150,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.65,0.633,left,action-external,,1.0,1.0,-0.22899999999999998,1.0
151,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.604,0.65,left,action-external,,1.0,1.0,-0.04600000000000004,1.0
152,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.472,0.456,right,action-external,,1.0,1.0,-0.132,1.0
153,001,03-25-2023_20h44.56.585,1.0,action,1.0,left,1.0,left,0.518,0.638,left,action-external,,1.0,1.0,0.04600000000000004,1.0
154,001,03-25-2023_20h44.56.585,1.0,action,1.0,right,1.0,right,0.347,0.702,right,action-external,,1.0,1.0,-0.17100000000000004,1.0
155,001,03-25-2023_20h44.56.585,0.0,action,1.0,left,1.0,left,0.483,0.671,right,action-external,,1.0,1.0,0.136,1.0
