ID,foreperiod,condition,block,counterbalance,meanRT,varRT,meanLogRT,meanRTzscore,meanInvRT,numForeperiod
001,1000,external,2,action-external,518.0897435897435,6445.900932400932,2.709364878146993,0.03343822040738867,0.0019752513046408116,1000
001,1000,action,1,action-external,503.8961038961039,12737.752221462748,2.6921453655516587,-0.12565115339290953,0.0020785217617056194,1000
001,2800,external,3,action-external,528.4487179487179,4588.2246087246085,2.7193937768954544,0.1495467577208349,0.001924684214564187,2800
001,2800,action,0,action-external,509.7792207792208,8098.121667805878,2.7010705821167904,-0.059710253022694317,0.002018936156100961,2800
002,1000,external,1,external-action,411.2282051282051,3107.3558175158178,2.610478641241763,-0.3510898041305157,0.002471066929177421,1000
002,1000,action,3,external-action,413.63896103896104,3148.261619958988,2.6129385071044178,-0.3146815838696329,0.002457762468946269,1000
002,2800,external,0,external-action,437.1860759493671,2362.3042908146713,2.6380614873648667,0.04093656160141387,0.002314745088971944,2800
002,2800,action,2,external-action,474.52,6393.2294683544305,2.6709419837001667,0.6047687289203798,0.002156734429417541,2800
003,1000,external,1,external-action,402.26184210526316,5180.20879122807,2.597875187359517,-0.32832799770791726,0.002562428662613471,1000
003,1000,action,2,external-action,418.4742857142857,8903.09382194617,2.6131633006577024,-0.10876169517004794,0.0024770456885756117,1000
003,2800,external,0,external-action,445.9351351351351,3878.481762310256,2.645110212308972,0.2631425851032581,0.0022859238367165047,2800
003,2800,action,3,external-action,439.396,3072.7439027027026,2.6394425527459826,0.17458260253418673,0.002312085008045101,2800
004,1000,external,3,action-external,331.8208333333333,1045.011531690141,2.5188711866719555,-0.2838693433573082,0.003042099910850968,1000
004,1000,action,1,action-external,325.443661971831,1964.447352112676,2.508419463951508,-0.4295316497998783,0.003131647029200667,1000
004,2800,external,2,action-external,356.7943661971831,1670.313110663984,2.5497344685663763,0.28655635022334924,0.0028369547608598856,2800
004,2800,action,0,action-external,362.5945205479452,2049.7791362252665,2.556286227969572,0.41903889029670904,0.0027972997186358857,2800
005,1000,external,1,external-action,522.3076923076923,6821.956043956044,2.7131817191721006,-0.19070767875294156,0.001954880842639989,1000
005,1000,action,3,external-action,510.34722222222223,6007.103090766823,2.7030998409600944,-0.32278476375693316,0.002002890099292338,1000
005,2800,external,0,external-action,596.1038961038961,9304.094326725906,2.7696999100507105,0.624209077203312,0.0017216442654396616,2800
005,2800,action,2,external-action,527.7236842105264,6348.789298245614,2.717749396070984,-0.13089996067666473,0.0019353887751731912,2800
006,1000,external,3,action-external,486.5769230769231,7214.3511488511485,2.6816878691583144,-0.007601503957474162,0.002103790996155155,1000
006,1000,action,0,action-external,486.36842105263156,4697.115789473684,2.682557238071494,-0.010023656548133843,0.002099162544414381,1000
006,2800,external,2,action-external,504.5194805194805,12633.726589200274,2.6940660020176113,0.20083585841456522,0.0020577686305831323,2800
006,2800,action,1,action-external,471.25,4759.87,2.668568240597475,-0.18565323541553053,0.0021689010143544347,2800
007,1000,external,1,external-action,457.01447368421054,4119.531654385965,2.6558039977558456,-0.7963586804731221,0.0022296335672303204,1000
007,1000,action,3,external-action,576.6776315789474,5712.819092982456,2.757592631372475,0.4295209603250142,0.0017601114080185612,1000
007,2800,external,0,external-action,473.6897435897436,3699.8604129204145,2.671725701861022,-0.62553021295107325,0.0021494867075864703,2800
007,2800,action,2,external-action,628.3025,4280.536449367088,2.7958664665267317,0.9583877917679989,0.0016085051564163496,2800
009,1000,external,1,external-action,558.6766233766234,17883.55786739576,2.7351142671236897,-0.223947263812489,0.0018920153052055257,1000
009,1000,action,2,external-action,568.3155844155845,17004.382385509227,2.744406686529671,-0.15116739486031425,0.0018410131057922856,1000
009,2800,external,0,external-action,651.0444444444445,16224.279687010954,2.8056808951272756,0.4734845325752417,0.001592832448113983,2800
009,2800,action,3,external-action,579.4948717948718,14590.78334998335,2.753730139309896,-0.06675714907194284,0.0018026594125581013,2800
011,1000,external,1,external-action,421.58589743589744,3860.072395937396,2.6203096344614445,-0.3677167059912295,0.0024222574476262687,1000
011,1000,action,2,external-action,438.55443037974686,4387.182512171374,2.637364864148714,-0.15526215177029937,0.0023288211459968904,1000
011,2800,external,0,external-action,475.91,7737.877620253164,2.671486053967798,0.31244834020929774,0.002156847563177418,2800
011,2800,action,3,external-action,467.0822784810127,7806.296092177863,2.6623835056355105,0.20192083342310982,0.002208556445631931,2800
012,1000,external,1,external-action,386.6842105263158,1941.7922807017544,2.5847691943269973,0.35765550247231165,0.0026161405423689205,1000
012,1000,action,2,external-action,364.06666666666666,1150.7117117117118,2.559450686670193,-0.20292948022405274,0.002768091746854168,1000
012,2800,external,0,external-action,377.7402597402597,1872.8000683527,2.574690466257328,0.13597606071898646,0.0026766817891942197,2800
012,2800,action,3,external-action,360.18666666666667,1140.424144144144,2.5547655224573838,-0.29909685128605085,0.002798370168692546,2800
013,1000,external,2,action-external,424.01666666666665,2892.426601731602,2.623984339135775,-0.3502051889758842,0.0023954212174004718,1000
013,1000,action,0,action-external,435.5,5086.486315789473,2.6336992172246037,-0.1733816347940559,0.0023510539956052446,1000
013,2800,external,3,action-external,458.97564102564104,3353.5314768564767,2.658394131205234,0.18810280202892704,0.0022130650760676064,2800
013,2800,action,1,action-external,468.4025641025641,4436.775577755578,2.6661150527122865,0.33326118026929585,0.002180752859969778,2800
014,1000,external,1,external-action,451.2409836065574,8278.32512568306,2.6459889624956063,0.1244259782032637,0.0023028593761240277,1000
014,1000,action,3,external-action,407.30422535211267,6668.594981891346,2.6015211674461325,-0.3610478488680803,0.0025511308212684,1000
